Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u, C440198
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C5, C6, C7, C8, C9",0805,16,100n, C28233
"C2, C3, C4",0805,3,1u,C28323
"D1, D2, D3, D4, D5, D6, D7, D8, D9",0603,9,LED R, C2286
"J1, J2",PinSocket_1x10_P2.54mm_Vertical,2,Conn_01x10_Socket,C35445 
"J3, J4",PinSocket_1x05_P2.54mm_Vertical,2,Conn_01x05_Socket,C50950
"J5, J6",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,C706876
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23,8,Q_PMOS,C15127
"R1, R2",0805,2,1k,C17513
"R10, R11, R12, R13, R14, R16, R17, R18, R19, R20, R22, R23, R24, R25, R26, R28, R29, R30, R31, R32, R34, R35, R36, R37, R38, R4, R40, R41, R42, R43, R44, R46, R47, R48, R49, R5, R50, R52, R53, R54, R55, R56, R57, R58, R59, R6, R7, R8",0805,48,10k,C17414
"R15, R21, R27, R3, R33, R39, R45, R51, R9",0805,9,100,C17408
"SD1, SD2, SD3, SD4, SD5, SD6, SD7, SD8",microSD - Yuandi TF-01A,8,XYECONN TF-015-ZYD9AH1.85,C20613194
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",TSSOP-20_4.4x6.5mm_P0.65mm,8,SN74CB3Q3245PWR,C470961
"U1, U2",SSOP-28_5.3x10.2mm_P0.65mm,2,MCP23017_SS,C506653
